threadNum  bufferSize  entryNum  sertime  partime
3  500  10000000  0.994496  0.137018
3  1000  100  1.1e-05  0.000145
3  1000  1000  0.000111  0.000193
3  1000  10000  0.000971  0.000644
3  1000  100000  0.012526  0.002149
3  1000  1000000  0.105877  0.015226
3  1000  10000000  1.07857  0.145521
3  2000  100  1.5e-05  0.000128
3  2000  1000  0.00016  0.000298
3  2000  10000  0.000971  0.000572
3  2000  100000  0.00953  0.001624
3  2000  1000000  0.102549  0.014187
3  2000  10000000  0.99589  0.133353
4  10  100  1.1e-05  0.000165
4  10  1000  0.000109  0.000349
4  10  10000  0.000997  0.000728
4  10  100000  0.009701  0.003376
4  10  1000000  0.108046  0.01982
4  10  10000000  1.04943  0.200718
4  50  100  1.1e-05  8.7e-05
4  50  1000  0.000111  0.000325
4  50  10000  0.000974  0.000352
4  50  100000  0.01008  0.002419
4  50  1000000  0.111509  0.01612
4  50  10000000  0.98792  0.176265
4  100  100  1.2e-05  0.000132
4  100  1000  0.000112  0.000276
4  100  10000  0.000974  0.000435
4  100  100000  0.009647  0.002204
4  100  1000000  0.104545  0.016596
4  100  10000000  0.9948  0.163379
4  200  100  1.6e-05  0.000103
4  200  1000  0.000159  0.000187
4  200  10000  0.000972  0.000589
4  200  100000  0.010476  0.002266
4  200  1000000  0.103771  0.01528
4  200  10000000  1.01999  0.160491
4  300  100  1.5e-05  0.000151
4  300  1000  0.000158  0.00029
4  300  10000  0.00149  0.000575
4  300  100000  0.010896  0.002397
4  300  1000000  0.100366  0.015404
4  300  10000000  0.983261  0.143962
4  500  100  1.1e-05  0.00014
4  500  1000  0.000112  0.000248
4  500  10000  0.001345  0.000616
4  500  100000  0.01004  0.002023
4  500  1000000  0.109289  0.016518
4  500  10000000  0.977324  0.162677
4  1000  100  1.1e-05  0.000104
4  1000  1000  0.000112  0.000292
4  1000  10000  0.000975  0.000517
4  1000  100000  0.01031  0.002275
4  1000  1000000  0.112301  0.014223
4  1000  10000000  0.986861  0.136499
4  2000  100  1.1e-05  0.000177
4  2000  1000  0.000159  0.000257
4  2000  10000  0.000973  0.000556
4  2000  100000  0.009699  0.002486
4  2000  1000000  0.10522  0.015811
4  2000  10000000  0.982795  0.143724
5  10  100  1.3e-05  0.000144
5  10  1000  0.000112  0.000271
5  10  10000  0.001009  0.00066
5  10  100000  0.01137  0.003444
5  10  1000000  0.101522  0.021927
5  10  10000000  0.957257  0.205184
5  50  100  1.1e-05  0.000158
5  50  1000  0.000113  0.00027
5  50  10000  0.000982  0.000451
5  50  100000  0.010378  0.0031
5  50  1000000  0.105718  0.019229
5  50  10000000  0.979707  0.168209
5  100  100  1.1e-05  0.000133
5  100  1000  0.000112  0.0003
5  100  10000  0.000969  0.000432
5  100  100000  0.010262  0.00267
5  100  1000000  0.099818  0.016994
5  100  10000000  0.996675  0.168924
5  200  100  1.6e-05  0.000119
5  200  1000  0.000159  0.000273
5  200  10000  0.001064  0.000629
5  200  100000  0.010176  0.002397
5  200  1000000  0.109085  0.015641
5  200  10000000  0.984007  0.153982
5  300  100  1.2e-05  7.8e-05
5  300  1000  0.00016  0.000287
5  300  10000  0.001117  0.000609
5  300  100000  0.009971  0.002368
5  300  1000000  0.105471  0.015228
5  300  10000000  0.982209  0.156067
5  500  100  1.2e-05  0.000116
5  500  1000  0.000121  0.000328
5  500  10000  0.00113  0.000716
5  500  100000  0.010799  0.002133
5  500  1000000  0.108746  0.018339
5  500  10000000  1.0558  0.152957
5  1000  100  1.2e-05  6.7e-05
5  1000  1000  0.000113  0.000213
5  1000  10000  0.00116  0.000574
5  1000  100000  0.009676  0.002211
5  1000  1000000  0.110666  0.014523
5  1000  10000000  1.00574  0.146605
5  2000  100  1.2e-05  0.000146
5  2000  1000  0.000112  0.000322
5  2000  10000  0.000968  0.000513
5  2000  100000  0.009821  0.002292
5  2000  1000000  0.103474  0.014385
5  2000  10000000  0.999975  0.139558
6  10  100  1.5e-05  9.7e-05
6  10  1000  0.000112  0.000303
6  10  10000  0.000976  0.000822
6  10  100000  0.010832  0.003488
6  10  1000000  0.106186  0.02234
6  10  10000000  1.0226  0.219643
6  50  100  1.5e-05  0.000119
6  50  1000  0.000113  0.000236
6  50  10000  0.000971  0.000545
6  50  100000  0.010107  0.002553
6  50  1000000  0.107009  0.018272
6  50  10000000  1.01779  0.180075
6  100  100  1.1e-05  0.000113
6  100  1000  0.000114  0.000347
6  100  10000  0.000972  0.000939
6  100  100000  0.010175  0.002486
6  100  1000000  0.103038  0.015234
6  100  10000000  1.00372  0.163868
6  200  100  1.6e-05  0.000157
6  200  1000  0.000158  0.000255
6  200  10000  0.000973  0.000717
6  200  100000  0.009881  0.002389
6  200  1000000  0.106505  0.017957
6  200  10000000  1.00575  0.157667
6  300  100  1.1e-05  0.000179
6  300  1000  0.000113  0.000198
6  300  10000  0.000983  0.000717
6  300  100000  0.009622  0.002384
6  300  1000000  0.107784  0.015469
6  300  10000000  0.997727  0.158356
6  500  100  1.1e-05  0.000144
6  500  1000  0.000117  0.000336
6  500  10000  0.000975  0.000565
6  500  100000  0.010361  0.002269
6  500  1000000  0.112167  0.014826
6  500  10000000  0.983331  0.150191
6  1000  100  1.5e-05  7.5e-05
6  1000  1000  0.000113  0.000302
6  1000  10000  0.000972  0.000532
6  1000  100000  0.00968  0.001937
6  1000  1000000  0.112169  0.014957
